system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
5130,2971,4592.604240945768,2839,4690.953113900072,L1C_T18DVG_A013520_20180123T134959,18DVG,
5131,5163,5992.061520047875,4965,6087.318209316396,L1C_T18DVH_A013520_20180123T134959,18DVH,
5132,624,882.3097522403796,368,686.6353219579024,L1C_T18DVJ_A013520_20180123T134959,18DVJ,
5133,723,3406.6482035928143,501,3486.781846190306,L1C_T18DWJ_A013520_20180123T134959,18DWJ,
5134,4288,4504.787238366186,4443,4663.199850439334,L1C_T18DXJ_A013520_20180123T134959,18DXJ,
5135,3496,5046.701784197112,3537,5297.029446935725,L1C_T18DXK_A013520_20180123T134959,18DXK,
5136,5380,5927.223934723479,5610,6245.9536817102135,L1C_T18DXL_A013520_20180123T134959,18DXL,
5137,4835,5239.3138617970535,5087,5510.728693001398,L1C_T19DDE_A013520_20180123T134959,19DDE,
5138,5401,6039.925540306042,5606,6375.13097199341,L1C_T19DDF_A013520_20180123T134959,19DDF,
5139,4044,4422.728090230147,4194,4633.033514582303,L1C_T19DDG_A013520_20180123T134959,19DDG,
5140,2874,3590.8201760931206,2920,3703.7548548356085,L1C_T19DDH_A013520_20180123T134959,19DDH,
5141,918,1391.7108311204026,708,1233.1078023045957,L1C_T19DEH_A013520_20180123T134959,19DEH,
5142,1043,1160.3476394849783,826,998.972148541114,L1C_T19DEJ_A013520_20180123T134959,19DEJ,
5143,1045,1301.786826735886,826,1160.8555555555554,L1C_T19DFH_A013520_20180123T134959,19DFH,
5144,1045,1967.5298377028714,826,1903.9223010086887,L1C_T19DFJ_A013520_20180123T134959,19DFJ,
5145,3387,3927.4384494499736,3539,4102.794199665365,L1C_T20DMP_A013520_20180123T134959,20DMP,
5146,3387,3739.2660550458713,3497,3879.0,L1C_T20EMQ_A013520_20180123T134959,20EMQ,
5147,4837,5429.851540616245,4996,5690.906382978724,L1C_T07CDS_A013522_20180123T171358,07CDS,
